ID,Tempat Wisata,Tahun,Wisnus,Wisman
144,Kebon Vintage,2023,4538,4891
145,Kebon Vintage,2024,1595,4080
146,Bali Exotic Marine Park,2020,0,0
147,Bali Exotic Marine Park,2021,0,0
148,Bali Exotic Marine Park,2022,10857,5079
149,Bali Exotic Marine Park,2023,8659,10919
150,Bali Exotic Marine Park,2024,4811,22531
151,Duta Orchid Garden,2020,0,0
152,Duta Orchid Garden,2021,0,0
153,Duta Orchid Garden,2022,9019,3716
154,Duta Orchid Garden,2023,9188,6190
155,Duta Orchid Garden,2024,13097,5954
156,TCEC,2020,0,0
157,TCEC,2021,0,0
158,TCEC,2022,5760,13624
159,TCEC,2023,9265,33827
160,TCEC,2024,14711,52311
161,Museum 3D,2020,0,0
162,Museum 3D,2021,0,0
163,Museum 3D,2022,950,289
164,Museum 3D,2023,933,176
165,Museum 3D,2024,0,0
166,Sekaa Barong dan Keris Sari Wisata Budaya,2020,0,0
167,Sekaa Barong dan Keris Sari Wisata Budaya,2021,0,0
168,Sekaa Barong dan Keris Sari Wisata Budaya,2022,6995,5739
169,Sekaa Barong dan Keris Sari Wisata Budaya,2023,14297,13215
170,Sekaa Barong dan Keris Sari Wisata Budaya,2024,11184,9931
171,Sekaa Barong dan Keris Uma Dewi Budaya  ,2020,0,0
172,Sekaa Barong dan Keris Uma Dewi Budaya  ,2021,0,0
173,Sekaa Barong dan Keris Uma Dewi Budaya  ,2022,0,0
174,Sekaa Barong dan Keris Uma Dewi Budaya  ,2023,3781,1632
175,Sekaa Barong dan Keris Uma Dewi Budaya  ,2024,0,0
176,Pantai Mertasari,2020,0,0
177,Pantai Mertasari,2021,0,0
178,Pantai Mertasari,2022,80577,4321
179,Pantai Mertasari,2023,130334,11437
180,Pantai Mertasari,2024,198585,12473
181,Desa Wisata Kesiman Kertalangu,2020,0,0
182,Desa Wisata Kesiman Kertalangu,2021,0,0
183,Desa Wisata Kesiman Kertalangu,2022,0,0
184,Desa Wisata Kesiman Kertalangu,2023,146764,203
185,Desa Wisata Kesiman Kertalangu,2024,110889,130
186,Citraland Water Park Denpasar ,2020,0,0
187,Citraland Water Park Denpasar ,2021,0,0
188,Citraland Water Park Denpasar ,2022,0,0
189,Citraland Water Park Denpasar ,2023,63878,0
190,Citraland Water Park Denpasar ,2024,74773,1229
191,Trans Studio Mall,2020,0,0
192,Trans Studio Mall,2021,0,0
193,Trans Studio Mall,2022,0,0
194,Trans Studio Mall,2023,27838,8532
195,Trans Studio Mall,2024,17382,7565
196,Sekaa Barong Eka Budhi,2020,0,0
197,Sekaa Barong Eka Budhi,2021,0,0
198,Sekaa Barong Eka Budhi,2022,0,0
199,Sekaa Barong Eka Budhi,2023,22544,487
200,Sekaa Barong Eka Budhi,2024,11081,6539
