ID,Wilayah,Tempat Wisata,Tahun,Wisnus,Wisman
96,DENPASAR CITY,Pantai Semawang,2020,0,0
97,DENPASAR CITY,Pantai Semawang,2021,33362,1506
98,DENPASAR CITY,Pantai Semawang,2022,0,0
99,DENPASAR CITY,Pantai Semawang,2023,0,0
100,DENPASAR CITY,Pantai Semawang,2024,0,0
101,DENPASAR CITY,Pantai Sindhu,2020,0,0
102,DENPASAR CITY,Pantai Sindhu,2021,0,0
103,DENPASAR CITY,Pantai Sindhu,2022,89377,2465
104,DENPASAR CITY,Pantai Sindhu,2023,113728,7646
105,DENPASAR CITY,Pantai Sindhu,2024,140618,10598
106,DENPASAR CITY,Pantai Segara Ayu,2020,0,0
107,DENPASAR CITY,Pantai Segara Ayu,2021,34662,1751
108,DENPASAR CITY,Pantai Segara Ayu,2022,86225,3074
109,DENPASAR CITY,Pantai Segara Ayu,2023,115367,8475
110,DENPASAR CITY,Pantai Segara Ayu,2024,159617,10968
111,DENPASAR CITY,Pantai Karang ,2020,0,0
112,DENPASAR CITY,Pantai Karang ,2021,20860,634
113,DENPASAR CITY,Pantai Karang ,2022,53000,2163
114,DENPASAR CITY,Pantai Karang ,2023,68174,7903
115,DENPASAR CITY,Pantai Karang ,2024,49569,9790
116,DENPASAR CITY,Teba Majalangu,2020,0,0
117,DENPASAR CITY,Teba Majalangu,2021,0,0
118,DENPASAR CITY,Teba Majalangu,2022,30296,24
119,DENPASAR CITY,Teba Majalangu,2023,0,0
120,DENPASAR CITY,Teba Majalangu,2024,28608,27
121,DENPASAR CITY,Tukad Bindu,2020,0,0
122,DENPASAR CITY,Tukad Bindu,2021,0,0
123,DENPASAR CITY,Tukad Bindu,2022,7177,36
124,DENPASAR CITY,Tukad Bindu,2023,8732,22
125,DENPASAR CITY,Tukad Bindu,2024,14392,2
126,DENPASAR CITY,Pasar Sindhu,2020,0,0
127,DENPASAR CITY,Pasar Sindhu,2021,0,0
128,DENPASAR CITY,Pasar Sindhu,2022,0,0
129,DENPASAR CITY,Pasar Sindhu,2023,13875,45702
130,DENPASAR CITY,Pasar Sindhu,2024,18667,43781
131,DENPASAR CITY,Puri Agung Jro Kuta,2020,0,0
132,DENPASAR CITY,Puri Agung Jro Kuta,2021,0,0
133,DENPASAR CITY,Puri Agung Jro Kuta,2022,49,135
134,DENPASAR CITY,Puri Agung Jro Kuta,2023,40,101
135,DENPASAR CITY,Puri Agung Jro Kuta,2024,0,0
136,DENPASAR CITY,Big Garden Coner ,2020,0,0
137,DENPASAR CITY,Big Garden Coner ,2021,0,0
138,DENPASAR CITY,Big Garden Coner ,2022,19069,2276
139,DENPASAR CITY,Big Garden Coner ,2023,14150,5864
140,DENPASAR CITY,Big Garden Coner ,2024,14984,7437
141,DENPASAR CITY,Kebon Vintage,2020,0,0
142,DENPASAR CITY,Kebon Vintage,2021,0,0
143,DENPASAR CITY,Kebon Vintage,2022,16447,2170
144,DENPASAR CITY,Kebon Vintage,2023,4538,4891
145,DENPASAR CITY,Kebon Vintage,2024,1595,4080
146,DENPASAR CITY,Bali Exotic Marine Park,2020,0,0
147,DENPASAR CITY,Bali Exotic Marine Park,2021,0,0
148,DENPASAR CITY,Bali Exotic Marine Park,2022,10857,5079
149,DENPASAR CITY,Bali Exotic Marine Park,2023,8659,10919
150,DENPASAR CITY,Bali Exotic Marine Park,2024,4811,22531
151,DENPASAR CITY,Duta Orchid Garden,2020,0,0
152,DENPASAR CITY,Duta Orchid Garden,2021,0,0
153,DENPASAR CITY,Duta Orchid Garden,2022,9019,3716
154,DENPASAR CITY,Duta Orchid Garden,2023,9188,6190
155,DENPASAR CITY,Duta Orchid Garden,2024,13097,5954
156,DENPASAR CITY,TCEC,2020,0,0
157,DENPASAR CITY,TCEC,2021,0,0
158,DENPASAR CITY,TCEC,2022,5760,13624
159,DENPASAR CITY,TCEC,2023,9265,33827
160,DENPASAR CITY,TCEC,2024,14711,52311
161,DENPASAR CITY,Museum 3D,2020,0,0
162,DENPASAR CITY,Museum 3D,2021,0,0
163,DENPASAR CITY,Museum 3D,2022,950,289
164,DENPASAR CITY,Museum 3D,2023,933,176
165,DENPASAR CITY,Museum 3D,2024,0,0
166,DENPASAR CITY,Sekaa Barong dan Keris Sari Wisata Budaya,2020,0,0
167,DENPASAR CITY,Sekaa Barong dan Keris Sari Wisata Budaya,2021,0,0
168,DENPASAR CITY,Sekaa Barong dan Keris Sari Wisata Budaya,2022,6995,5739
169,DENPASAR CITY,Sekaa Barong dan Keris Sari Wisata Budaya,2023,14297,13215
170,DENPASAR CITY,Sekaa Barong dan Keris Sari Wisata Budaya,2024,11184,9931
171,DENPASAR CITY,Sekaa Barong dan Keris Uma Dewi Budaya  ,2020,0,0
172,DENPASAR CITY,Sekaa Barong dan Keris Uma Dewi Budaya  ,2021,0,0
173,DENPASAR CITY,Sekaa Barong dan Keris Uma Dewi Budaya  ,2022,0,0
174,DENPASAR CITY,Sekaa Barong dan Keris Uma Dewi Budaya  ,2023,3781,1632
175,DENPASAR CITY,Sekaa Barong dan Keris Uma Dewi Budaya  ,2024,0,0
176,DENPASAR CITY,Pantai Mertasari,2020,0,0
177,DENPASAR CITY,Pantai Mertasari,2021,0,0
178,DENPASAR CITY,Pantai Mertasari,2022,80577,4321
179,DENPASAR CITY,Pantai Mertasari,2023,130334,11437
180,DENPASAR CITY,Pantai Mertasari,2024,198585,12473
181,DENPASAR CITY,Desa Wisata Kesiman Kertalangu,2020,0,0
182,DENPASAR CITY,Desa Wisata Kesiman Kertalangu,2021,0,0
183,DENPASAR CITY,Desa Wisata Kesiman Kertalangu,2022,0,0
184,DENPASAR CITY,Desa Wisata Kesiman Kertalangu,2023,146764,203
185,DENPASAR CITY,Desa Wisata Kesiman Kertalangu,2024,110889,130
186,DENPASAR CITY,Citraland Water Park Denpasar ,2020,0,0
187,DENPASAR CITY,Citraland Water Park Denpasar ,2021,0,0
188,DENPASAR CITY,Citraland Water Park Denpasar ,2022,0,0
189,DENPASAR CITY,Citraland Water Park Denpasar ,2023,63878,0
190,DENPASAR CITY,Citraland Water Park Denpasar ,2024,74773,1229
191,DENPASAR CITY,Trans Studio Mall,2020,0,0
192,DENPASAR CITY,Trans Studio Mall,2021,0,0
193,DENPASAR CITY,Trans Studio Mall,2022,0,0
194,DENPASAR CITY,Trans Studio Mall,2023,27838,8532
195,DENPASAR CITY,Trans Studio Mall,2024,17382,7565
196,DENPASAR CITY,Sekaa Barong Eka Budhi,2020,0,0
197,DENPASAR CITY,Sekaa Barong Eka Budhi,2021,0,0
198,DENPASAR CITY,Sekaa Barong Eka Budhi,2022,0,0
199,DENPASAR CITY,Sekaa Barong Eka Budhi,2023,22544,487
200,DENPASAR CITY,Sekaa Barong Eka Budhi,2024,11081,6539
201,DENPASAR CITY,Museum Up Side Down,2020,0,0
202,DENPASAR CITY,Museum Up Side Down,2021,0,0
203,DENPASAR CITY,Museum Up Side Down,2022,0,0
204,DENPASAR CITY,Museum Up Side Down,2023,0,0
205,DENPASAR CITY,Museum Up Side Down,2024,5967,9261
206,DENPASAR CITY,Ekowisata Batulumbang,2020,0,0
207,DENPASAR CITY,Ekowisata Batulumbang,2021,0,0
208,DENPASAR CITY,Ekowisata Batulumbang,2022,0,0
209,DENPASAR CITY,Ekowisata Batulumbang,2023,0,0
210,DENPASAR CITY,Ekowisata Batulumbang,2024,21299,345
211,DENPASAR CITY,Pantai Giri Emas,2020,0,0
212,DENPASAR CITY,Pantai Giri Emas,2021,0,0
213,DENPASAR CITY,Pantai Giri Emas,2022,0,0
214,DENPASAR CITY,Pantai Giri Emas,2023,0,0
215,DENPASAR CITY,Pantai Giri Emas,2024,771,4
216,BADUNG REGENCY,Sangeh,2020,37265,14221
217,BADUNG REGENCY,Sangeh,2021,29521,1290
218,BADUNG REGENCY,Sangeh,2022,1831,2004
219,BADUNG REGENCY,Sangeh,2023,26334,53973
220,BADUNG REGENCY,Sangeh,2024,38568,99782
221,BADUNG REGENCY,Taman Ayun,2020,14464,45272
222,BADUNG REGENCY,Taman Ayun,2021,11719,535
223,BADUNG REGENCY,Taman Ayun,2022,450850,83833
224,BADUNG REGENCY,Taman Ayun,2023,22814,192690
225,BADUNG REGENCY,Taman Ayun,2024,22812,204943
226,BADUNG REGENCY,Uluwatu,2020,142615,256223
227,BADUNG REGENCY,Uluwatu,2021,144646,6686
228,BADUNG REGENCY,Uluwatu,2022,450850,480884
229,BADUNG REGENCY,Uluwatu,2023,526558,1150979
